sim/operation/quit                                 Quit X-Plane.
sim/radios/RMI_L_tog                               RMI left NAV toggle VOR/NDB.
sim/radios/RMI_R_tog                               RMI right NAV toggle VOR/NDB.
sim/radios/copilot_RMI_L_tog_cop                   Copilot RMI left NAV toggle VOR/NDB.
sim/radios/copilot_RMI_R_tog_cop                   Copilot RMI right NAV toggle VOR/NDB.
sim/radios/rmu1/coarse_down                        RMU 1: tune coarse down.
sim/radios/rmu1/coarse_up                          RMU 1: tune coarse up.
sim/radios/rmu1/fine_down                          RMU 1: tune fine down.
sim/radios/rmu1/fine_up                            RMU 1: tune fine up.
sim/radios/rmu1/ls_1l                              RMU 1: line select 1l
sim/radios/rmu1/ls_2l                              RMU 1: line select 2l
sim/radios/rmu1/ls_3l                              RMU 1: line select 3l
sim/radios/rmu1/ls_4l                              RMU 1: line select 4l
sim/radios/rmu1/ls_5l                              RMU 1: line select 5l
sim/radios/rmu1/ls_6l                              RMU 1: line select 6l
sim/radios/rmu1/ls_1r                              RMU 1: line select 1r
sim/radios/rmu1/ls_2r                              RMU 1: line select 2r
sim/radios/rmu1/ls_3r                              RMU 1: line select 3r
sim/radios/rmu1/ls_4r                              RMU 1: line select 4r
sim/radios/rmu1/ls_5r                              RMU 1: line select 5r
sim/radios/rmu1/ls_6r                              RMU 1: line select 6r
sim/radios/rmu1/12                                 RMU 1: 1/2
sim/radios/rmu1/ID                                 RMU 1: ID
sim/radios/rmu1/DME                                RMU 1: DME
sim/radios/rmu1/popup                              RMU 1: Popup
sim/radios/rmu1/popout                             RMU 1: Pop out window
sim/radios/rmu2/coarse_down                        RMU 2: tune coarse down.
sim/radios/rmu2/coarse_up                          RMU 2: tune coarse up.
sim/radios/rmu2/fine_down                          RMU 2: tune fine down.
sim/radios/rmu2/fine_up                            RMU 2: tune fine up.
sim/radios/rmu2/ls_1l                              RMU 2: line select 1l
sim/radios/rmu2/ls_2l                              RMU 2: line select 2l
sim/radios/rmu2/ls_3l                              RMU 2: line select 3l
sim/radios/rmu2/ls_4l                              RMU 2: line select 4l
sim/radios/rmu2/ls_5l                              RMU 2: line select 5l
sim/radios/rmu2/ls_6l                              RMU 2: line select 6l
sim/radios/rmu2/ls_1r                              RMU 2: line select 1r
sim/radios/rmu2/ls_2r                              RMU 2: line select 2r
sim/radios/rmu2/ls_3r                              RMU 2: line select 3r
sim/radios/rmu2/ls_4r                              RMU 2: line select 4r
sim/radios/rmu2/ls_5r                              RMU 2: line select 5r
sim/radios/rmu2/ls_6r                              RMU 2: line select 6r
sim/radios/rmu2/12                                 RMU 2: 1/2
sim/radios/rmu2/ID                                 RMU 2: ID
sim/radios/rmu2/DME                                RMU 2: DME
sim/radios/rmu2/popup                              RMU 2: Popup
sim/radios/rmu2/popout                             RMU 2: Pop out window
sim/instruments/ECAM_mode_up                       ECAM mode up.
sim/instruments/ECAM_mode_down                     ECAM mode down.
sim/instruments/map_zoom_in                        Zoom in EFIS map.
sim/instruments/map_zoom_out                       Zoom out EFIS map.
sim/instruments/map_mag_north                      EFIS map reference magnetic north.
sim/instruments/map_true_north                     EFIS map reference true north.
sim/instruments/EFIS_wxr                           EFIS map weather.
sim/instruments/EFIS_tcas                          EFIS map TCAS.
sim/instruments/EFIS_apt                           EFIS map airport.
sim/instruments/EFIS_fix                           EFIS map fix.
sim/instruments/EFIS_vor                           EFIS map VOR.
sim/instruments/EFIS_ndb                           EFIS map NDB.
sim/instruments/EFIS_terr                          EFIS map terrain.
sim/instruments/EFIS_mode_up                       EFIS mode up (APP/VOR/MAP/PLN)
sim/instruments/EFIS_mode_dn                       EFIS mode down (PLN/MAP/VOR/APP)
sim/instruments/EFIS_mfd_map                       EFIS MFD map toggle (MAP<->PLN)
sim/instruments/EFIS_arc_full                      EFIS HSI toggle arc/full
sim/instruments/EFIS_tcas_window                   EFIS map TCAS window.
sim/instruments/EFIS_wxr_pfd                       EFIS HSI arc with weather on PFD.
sim/instruments/map_copilot_zoom_in                Zoom in copilot EFIS map.
sim/instruments/map_copilot_zoom_out               Zoom out copilot EFIS map.
sim/instruments/map_copilot_mag_north              EFIS copilot map reference magnetic north.
sim/instruments/map_copilot_true_north             EFIS copilot map reference true north.
sim/instruments/EFIS_copilot_wxr                   EFIS copilot map weather.
sim/instruments/EFIS_copilot_tcas                  EFIS copilot map TCAS.
sim/instruments/EFIS_copilot_apt                   EFIS copilot map airport.
sim/instruments/EFIS_copilot_fix                   EFIS copilot map fix.
sim/instruments/EFIS_copilot_vor                   EFIS copilot map VOR.
sim/instruments/EFIS_copilot_ndb                   EFIS copilot map NDB.
sim/instruments/EFIS_copilot_terr                  EFIS copilot map terrain.
sim/instruments/EFIS_copilot_mode_up               EFIS copilot mode up (APP/VOR/MAP/PLN)
sim/instruments/EFIS_copilot_mode_dn               EFIS copilot mode down (PLN/MAP/VOR/APP)
sim/instruments/EFIS_copilot_mfd_map               EFIS copilot MFD map toggle (MAP<->PLN)
sim/instruments/EFIS_copilot_arc_full              EFIS copilot HSI toggle arc/full
sim/instruments/EFIS_copilot_tcas_window           EFIS copilot map TCAS window.
sim/instruments/EFIS_copilot_wxr_pfd               EFIS HSI arc with weather on copilot PFD.
sim/instruments/PFD_copilot_popup                  EFIS copilot PFD popup.
sim/instruments/EFIS_copilot_back                  EFIS copilot MFD back.
sim/instruments/EFIS_copilot_softkey_1             EFIS copilot MFD softkey 1.
sim/instruments/EFIS_copilot_softkey_2             EFIS copilot MFD softkey 2.
sim/instruments/EFIS_copilot_softkey_3             EFIS copilot MFD softkey 3.
sim/instruments/EFIS_copilot_softkey_4             EFIS copilot MFD softkey 4.
sim/instruments/EFIS_copilot_softkey_5             EFIS copilot MFD softkey 5.
sim/instruments/EFIS_copilot_popup                 EFIS copilot MFD popup.
sim/instruments/EFIS_copilot_pan_up                EFIS copilot pan up.
sim/instruments/EFIS_copilot_pan_down              EFIS copilot pan down.
sim/instruments/EFIS_copilot_pan_left              EFIS copilot pan left.
sim/instruments/EFIS_copilot_pan_right             EFIS copilot pan right.
sim/instruments/EFIS_copilot_skp                   EFIS copilot skip.
sim/instruments/EFIS_copilot_rcl                   EFIS copilot recall.
sim/instruments/center_control_left                Center MFD control left.
sim/instruments/center_control_right               Center MFD control right.
sim/instruments/EFIS_center_back                   EFIS center MFD back.
sim/instruments/EFIS_center_softkey_1              EFIS center MFD softkey 1.
sim/instruments/EFIS_center_softkey_2              EFIS center MFD softkey 2.
sim/instruments/EFIS_center_softkey_3              EFIS center MFD softkey 3.
sim/instruments/EFIS_center_softkey_4              EFIS center MFD softkey 4.
sim/instruments/EFIS_center_softkey_5              EFIS center MFD softkey 5.
sim/instruments/EFIS_center_popup                  EFIS center popup.
sim/instruments/PFD_pilot_popup                    EFIS pilot PFD popup.
sim/instruments/EFIS_back                          EFIS pilot MFD back.
sim/instruments/EFIS_softkey_1                     EFIS pilot MFD softkey 1.
sim/instruments/EFIS_softkey_2                     EFIS pilot MFD softkey 2.
sim/instruments/EFIS_softkey_3                     EFIS pilot MFD softkey 3.
sim/instruments/EFIS_softkey_4                     EFIS pilot MFD softkey 4.
sim/instruments/EFIS_softkey_5                     EFIS pilot MFD softkey 5.
sim/instruments/EFIS_pilot_popup                   EFIS pilot MFD popup.
sim/instruments/EFIS_pan_up                        EFIS pilot pan up.
sim/instruments/EFIS_pan_down                      EFIS pilot pan down.
sim/instruments/EFIS_pan_left                      EFIS pilot pan left.
sim/instruments/EFIS_pan_right                     EFIS pilot pan right.
sim/instruments/EFIS_skp                           EFIS pilot skip.
sim/instruments/EFIS_rcl                           EFIS pilot recall.
sim/instruments/EFIS_1_pilot_sel_dn                EFIS 1 brg pointer pilot down (ADF/off/VOR)
sim/instruments/EFIS_1_pilot_sel_up                EFIS 1 brg pointer pilot up (ADF/off/VOR)
sim/instruments/EFIS_1_pilot_sel_off               EFIS 1 brg pointer pilot OFF
sim/instruments/EFIS_1_pilot_sel_vor               EFIS 1 brg pointer pilot VOR
sim/instruments/EFIS_1_pilot_sel_adf               EFIS 1 brg pointer pilot ADF
sim/instruments/EFIS_1_pilot_sel_fms               EFIS 1 brg pointer pilot FMS
sim/instruments/EFIS_1_copilot_sel_dn              EFIS 1 brg pointer copilot down (ADF/off/VOR)
sim/instruments/EFIS_1_copilot_sel_up              EFIS 1 brg pointer copilot up (ADF/off/VOR)
sim/instruments/EFIS_1_copilot_sel_off             EFIS 1 brg pointer copilot OFF
sim/instruments/EFIS_1_copilot_sel_vor             EFIS 1 brg pointer copilot VOR
sim/instruments/EFIS_1_copilot_sel_adf             EFIS 1 brg pointer copilot ADF
sim/instruments/EFIS_1_copilot_sel_fms             EFIS 1 brg pointer copilot FMS
sim/instruments/EFIS_2_pilot_sel_dn                EFIS 2 selection pilot down (ADF/off/VOR)
sim/instruments/EFIS_2_pilot_sel_up                EFIS 2 selection pilot up (ADF/off/VOR)
sim/instruments/EFIS_2_pilot_sel_off               EFIS 2 brg pointer pilot OFF
sim/instruments/EFIS_2_pilot_sel_vor               EFIS 2 brg pointer pilot VOR
sim/instruments/EFIS_2_pilot_sel_adf               EFIS 2 brg pointer pilot ADF
sim/instruments/EFIS_2_pilot_sel_fms               EFIS 2 brg pointer pilot FMS
sim/instruments/EFIS_2_copilot_sel_dn              EFIS 2 selection copilot down (ADF/off/VOR)
sim/instruments/EFIS_2_copilot_sel_up              EFIS 2 selection copilot up (ADF/off/VOR)
sim/instruments/EFIS_2_copilot_sel_off             EFIS 2 brg pointer copilot OFF
sim/instruments/EFIS_2_copilot_sel_vor             EFIS 2 brg pointer copilot VOR
sim/instruments/EFIS_2_copilot_sel_adf             EFIS 2 brg pointer copilot ADF
sim/instruments/EFIS_2_copilot_sel_fms             EFIS 2 brg pointer copilot FMS
sim/radios/obs1_down                               OBS 1 down.
sim/radios/obs1_up                                 OBS 1 up.
sim/radios/obs2_down                               OBS 2 down.
sim/radios/obs2_up                                 OBS 2 up.
sim/radios/obs_HSI_down                            OBS HSI down.
sim/radios/obs_HSI_up                              OBS HSI up.
sim/radios/obs_HSI_direct                          OBS HSI direct course.
sim/radios/adf1_card_down                          ADF card 1 down.
sim/radios/adf1_card_up                            ADF card 1 up.
sim/radios/adf2_card_down                          ADF card 2 down.
sim/radios/adf2_card_up                            ADF card 2 up.
sim/radios/copilot_obs1_down                       Copilot OBS 1 down.
sim/radios/copilot_obs1_up                         Copilot OBS 1 up.
sim/radios/copilot_obs2_down                       Copilot OBS 2 down.
sim/radios/copilot_obs2_up                         Copilot OBS 2 up.
sim/radios/copilot_obs_HSI_down                    Copilot OBS HSI down.
sim/radios/copilot_obs_HSI_up                      Copilot OBS HSI up.
sim/radios/copilot_obs_HSI_direct                  Copilot OBS HSI direct course.
sim/radios/copilot_adf1_card_down                  Copilot ADF card 1 down.
sim/radios/copilot_adf1_card_up                    Copilot ADF card 1 up.
sim/radios/copilot_adf2_card_down                  Copilot ADF card 2 down.
sim/radios/copilot_adf2_card_up                    Copilot ADF card 2 up.
sim/autopilot/hsi_select_down                      HSI select down one.
sim/autopilot/hsi_select_up                        HSI select up one.
sim/autopilot/hsi_select_nav_1                     HSI shows NAV 1.
sim/autopilot/hsi_select_nav_2                     HSI shows NAV 2.
sim/autopilot/hsi_toggle_nav                       HSI toggles between NAV 1 and NAV 2.
sim/autopilot/hsi_select_gps                       HSI shows GPS.
sim/autopilot/hsi_select_gps2                      HSI shows GPS2.
sim/autopilot/hsi_toggle_gps                       HSI toggles between GPS 1 and GPS 2.
sim/autopilot/hsi_toggle_preview                   HSI preview toggle on/off.
sim/autopilot/hsi_select_copilot_down              HSI select down one, copilot.
sim/autopilot/hsi_select_copilot_up                HSI select up one, copilot.
sim/autopilot/hsi_select_copilot_nav_1             HSI shows NAV 1, copilot.
sim/autopilot/hsi_select_copilot_nav_2             HSI shows NAV 2, copilot.
sim/autopilot/hsi_toggle_copilot_nav               HSI toggles between NAV 2 and NAV 1, copilot.
sim/autopilot/hsi_select_copilot_gps               HSI shows GPS, copilot.
sim/autopilot/hsi_select_copilot_gps2              HSI shows GPS2, copilot.
sim/autopilot/hsi_toggle_copilot_gps               HSI toggles between GPS 2 and GPS 1, copilot.
sim/autopilot/hsi_toggle_copilot_preview           HSI preview toggle on/off, copilot.
sim/flight_controls/carrier_ILS                    Set the radios for the carrier ILS.
sim/flight_controls/boats_navaids_on               Turn on the navaids on the carrier and frigate.
sim/flight_controls/boats_navaids_off              Turn off the navaids on the carrier and frigate.
sim/autopilot/source_01                            Change autopilot instrument source, 0 or 1
sim/autopilot/fdir_on                              Flight director on.
sim/autopilot/fdir_toggle                          Flight director toggle.
sim/autopilot/servos_on                            Servos on.
sim/autopilot/servos_toggle                        Servos toggle.
sim/autopilot/fdir_servos_down_one                 Flight director down (on/FDIR/off).
sim/autopilot/fdir_servos_up_one                   Flight director up (off/FDIR/on).
sim/autopilot/fdir_command_bars_on                 Flight director command bars on.
sim/autopilot/fdir_command_bars_off                Flight director command bars off.
sim/autopilot/fdir_command_bars_toggle             Flight director command bars toggle.
sim/autopilot/servos_fdir_off                      Disco servos, flt dir.
sim/autopilot/servos_fdir_yawd_off                 Disco servos, flt dir, yaw damp.
sim/autopilot/servos_fdir_yawd_trim_off            Disco servos, flt dir, yaw damp, trim.
sim/autopilot/control_wheel_steer                  Control wheel steering mode.
sim/autopilot/fdir2_on                             Flight director 2 on.
sim/autopilot/fdir2_toggle                         Flight director 2 toggle.
sim/autopilot/servos2_on                           Servos 2 on.
sim/autopilot/servos2_toggle                       Servos 2 toggle.
sim/autopilot/fdir2_servos_down_one                Flight director 2 down (on/FDIR/off).
sim/autopilot/fdir2_servos_up_one                  Flight director 2 up (off/FDIR/on).
sim/autopilot/fdir2_command_bars_on                Flight director 2 command bars on.
sim/autopilot/fdir2_command_bars_off               Flight director 2 command bars off.
sim/autopilot/fdir2_command_bars_toggle            Flight director 2 command bars toggle.
sim/autopilot/servos_fdir2_off                     Disco servos 2, flt dir 2.
sim/autopilot/CWSA                                 CWS A - Control wheel steering mode AP A.
sim/autopilot/CWSB                                 CWS B - Control wheel steering mode AP B.
sim/autopilot/servos3_on                           Servos 3 on.
sim/autopilot/servos3_toggle                       Servos 3 toggle.
sim/autopilot/servos_fdir3_off                     Disco servos 3.
sim/autopilot/servos_off_any                       Disco servos, which ever side is active.
sim/autopilot/ap_disc_trim_interrupt               Disconnect autopilot and interrupt pitch trim servo.
sim/autopilot/servos_yawd_off_any                  Disco servos and yaw damp, any side.
sim/autopilot/servos_yawd_trim_off_any             Disco servos, yaw damp and trim any side.
sim/autopilot/electric_master_on                   Autopilot electric master switch on.
sim/autopilot/electric_master_off                  Autopilot electric master switch off.
sim/autopilot/electric_master_toggle               Autopilot electric master switch toggle.
sim/autopilot/electric_trim_servo_on               Electric trim servo switch on.
sim/autopilot/electric_trim_servo_off              Electric trim servo switch off.
sim/autopilot/electric_trim_servo_toggle           Electric trim servo switch toggle.
sim/autopilot/priority_pb_left                     Stick priority: Left
sim/autopilot/priority_pb_right                    Stick priority: Right
sim/autopilot/autothrottle_on                      Autopilot auto-throttle speed-hold on.
sim/autopilot/autothrottle_off                     Autopilot auto-throttle all modes off, remain armed.
sim/autopilot/autothrottle_toggle                  Autopilot auto-throttle speed toggle.
sim/autopilot/autothrottle_n1epr                   Autopilot auto-throttle EPR/N1 hold on.
sim/autopilot/autothrottle_n1epr_toggle            Autopilot auto-throttle EPR/N1 hold toggle.
sim/autopilot/autothrottle_arm                     Autopilot auto-throttle arm.
sim/autopilot/autothrottle_retard                  Autopilot auto-throttle retard to flight idle.
sim/autopilot/autothrottle_hard_off                Autopilot auto-throttle off and dis-arm.
sim/autopilot/heading                              Autopilot heading-select.
sim/autopilot/track                                Autopilot track.
sim/autopilot/heading_hold                         Autopilot heading-hold.
sim/autopilot/wing_leveler                         Autopilot wing-level / roll hold.
sim/autopilot/return_to_level                      Autopilot return to level (blue button).
sim/autopilot/rate_hold                            Autopilot wing-level / rate hold.
sim/autopilot/attitude                             Autopilot roll + pitch hold.
sim/autopilot/hdg_nav                              Autopilot heading select and NAV arm.
sim/autopilot/NAV                                  Autopilot VOR/LOC arm.
sim/autopilot/vertical_speed                       Autopilot vertical speed, at current VSI.
sim/autopilot/fpa                                  Autopilot flight path angle, current FPA.
sim/autopilot/alt_vs                               Autopilot vertical speed, at current VSI, arm ALT.
sim/autopilot/vertical_speed_pre_sel               Autopilot vertical speed, at pre-sel VSI.
sim/autopilot/pitch_sync                           Autopilot pitch-sync.
sim/autopilot/level_change                         Autopilot level change.
sim/autopilot/altitude_hold                        Autopilot altitude select or hold.
sim/autopilot/terrain_following                    Autopilot terrain-mode following.
sim/autopilot/take_off_go_around                   Autopilot take-off go-around.
sim/autopilot/reentry                              Autopilot re-entry.
sim/autopilot/glide_slope                          Autopilot glideslope.
sim/autopilot/vnav                                 Autopilot VNAV PTH for G1000.
sim/autopilot/vnav_spd                             Autopilot VNAV SPD (not G1000).
sim/autopilot/gpss                                 Autopilot GPS Steering.
sim/autopilot/climb                                Autopilot Climb Speed Ref (Collins).
sim/autopilot/descend                              Autopilot Descend (Collins).
sim/autopilot/trkfpa                               Autopilot TRK/FPA vs HDG/VS toggle.
sim/autopilot/alt_intv                             Autopilot VNAV altitude intervention.
sim/autopilot/spd_intv                             Autopilot VNAV speed intervention.
sim/autopilot/airspeed_sync                        Autopilot airspeed sync.
sim/autopilot/heading_sync                         Autopilot heading sync.
sim/autopilot/heading_sync_pilot                   Autopilot heading sync pilot bug.
sim/autopilot/heading_sync_copilot                 Autopilot heading sync copilot bug.
sim/autopilot/vertical_speed_sync                  Autopilot VVI sync.
sim/autopilot/altitude_sync                        Autopilot altitude sync.
sim/autopilot/heading_down                         Autopilot heading down.
sim/autopilot/heading_up                           Autopilot heading up.
sim/autopilot/heading_copilot_down                 Autopilot heading copilot down.
sim/autopilot/heading_copilot_up                   Autopilot heading copilot up.
sim/autopilot/airspeed_down                        Autopilot airspeed down.
sim/autopilot/airspeed_up                          Autopilot airspeed up.
sim/autopilot/vertical_speed_down                  Autopilot VVI down.
sim/autopilot/vertical_speed_up                    Autopilot VVI up.
sim/autopilot/altitude_down                        Autopilot altitude down.
sim/autopilot/altitude_up                          Autopilot altitude up.
sim/autopilot/nose_down                            Autopilot nose down.
sim/autopilot/nose_up                              Autopilot nose up.
sim/autopilot/nose_down_pitch_mode                 Autopilot nose down, go into pitch mode.
sim/autopilot/nose_up_pitch_mode                   Autopilot nose up, go into pitch mode
sim/autopilot/override_left                        Autopilot override left: Go to ROL mode.
sim/autopilot/override_right                       Autopilot override right: Go to ROL mode.
sim/autopilot/override_center                      Autopilot override center: Go to ROL mode, 0 turn rate roll angle.
sim/autopilot/override_up                          Autopilot override up: Go to SYN mode.
sim/autopilot/override_down                        Autopilot override down: Go to SYN mode.
sim/autopilot/altitude_arm                         Autopilot altitude hold ARM.
sim/autopilot/approach                             Autopilot approach.
sim/autopilot/back_course                          Autopilot back-course.
sim/autopilot/knots_mach_toggle                    Toggle knots-Mach airspeeed hold.
sim/autopilot/FMS                                  Autopilot FMS altitude.
sim/autopilot/bank_limit_down                      Bank angle limit down.
sim/autopilot/bank_limit_up                        Bank angle limit up.
sim/autopilot/bank_limit_toggle                    Bank angle limit toggle.
sim/autopilot/soft_ride_toggle                     Soft ride toggle.
sim/autopilot/st360_dta                            Altitude pre-selector: Data Entry
sim/autopilot/st360_bar                            Altitude pre-selector: Baro
sim/autopilot/st360_alt                            Altitude pre-selector: Alt
sim/autopilot/st360_alr                            Altitude pre-selector: Alert
sim/autopilot/st360_dh                             Altitude pre-selector: Decision Altitude
sim/autopilot/st360_vs                             Altitude pre-selector: Vertical Speed
sim/autopilot/st360_man                            Altitude pre-selector: Manual
sim/autopilot/st360_inc                            Altitude pre-selector: Increment
sim/autopilot/st360_dec                            Altitude pre-selector: Decrement
sim/autopilot/st360_pull                           Altitude pre-selector: Pull Tenths
sim/autopilot/st360_push                           Altitude pre-selector: Push Hundreds
sim/autopilot/st360_tog_tenths                     Altitude pre-selector: Toggle Tenths
sim/electrical/dc_volt_dn                          DC Voltmeter down.
sim/electrical/dc_volt_up                          DC Voltmeter up.
sim/electrical/dc_volt_ext                         DC Voltmeter external power.
sim/electrical/dc_volt_ctr                         DC Voltmeter center.
sim/electrical/dc_volt_lft                         DC Voltmeter left.
sim/electrical/dc_volt_rgt                         DC Voltmeter right.
sim/electrical/dc_volt_tpl                         DC Voltmeter TPL-fed.
sim/electrical/dc_volt_bat                         DC Voltmeter battery.
sim/HUD/power_toggle                               HUD toggle power.
sim/HUD/brightness_toggle                          HUD toggle brightness.
sim/systems/total_energy_audio_toggle              Toggle total-energy audio.
sim/instruments/thermo_units_toggle                Toggle english/metric thermometer.
sim/instruments/barometer_2992                     Baro pressure selection 2992.
sim/instruments/DG_sync_down                       vacuum DG sync down.
sim/instruments/DG_sync_up                         vacuum DG sync up.
sim/instruments/DG_sync_mag                        vacuum DG sync to magnetic north.
sim/instruments/copilot_DG_sync_down               Copilot vacuum DG sync down.
sim/instruments/copilot_DG_sync_up                 Copilot vacuum DG sync up.
sim/instruments/copilot_DG_sync_mag                Copilot vacuum DG sync to magnetic north.
sim/instruments/free_gyro                          electric DG free.
sim/instruments/slave_gyro                         electric DG slave.
sim/instruments/copilot_free_gyro                  Copilot electric DG free.
sim/instruments/copilot_slave_gyro                 Copilot electric DG slave.
sim/instruments/free_gyro_down                     electric DG free sync down.
sim/instruments/free_gyro_up                       electric DG free sync up.
sim/instruments/copilot_free_gyro_down             Copilot electric DG free sync down.
sim/instruments/copilot_free_gyro_up               Copilot electric DG free sync up.
sim/instruments/dg_ahrs                            AHRS HDG in DG mode
sim/instruments/slave_ahrs                         AHRS HDG in slave mode
sim/instruments/copilot_dg_ahrs                    Copilot AHRS HDG in DG mode.
sim/instruments/copilot_slave_ahrs                 Copilot AHRS HDG in slave mode.
sim/instruments/ahrs_slew_left                     AHRS slew left.
sim/instruments/ahrs_slew_right                    AHRS slew right
sim/instruments/copilot_ahrs_slew_left             Copilot AHRS slew left.
sim/instruments/copilot_ahrs_slew_right            Copilot AHRS slew right.
sim/instruments/ah_ref_down                        Horizon reference down a bit.
sim/instruments/ah_ref_up                          Horizon reference up a bit.
sim/instruments/ah_ref_copilot_down                Horizon reference down a bit, copilot.
sim/instruments/ah_ref_copilot_up                  Horizon reference down a bit, copilot.
sim/instruments/ah_fast_erect                      Attitude vacuum gyro fast erect.
sim/instruments/ah_cage                            Attitude vacuum gyro cage toggle.
sim/instruments/ah_fast_erect_copilot              Attitude vacuum gyro fast erect, copilot.
sim/instruments/ah_cage_copilot                    Attitude vacuum gyro cage toggle, copilot
sim/instruments/barometer_down                     Baro selection down a bit.
sim/instruments/barometer_up                       Baro selection up a bit.
sim/instruments/barometer_std                      Baro selection standard.
sim/instruments/barometer_copilot_down             Baro selection down a bit, copilot.
sim/instruments/barometer_copilot_up               Baro selection up a bit, copilot.
sim/instruments/barometer_copilot_std              Baro selection standard, copilot.
sim/instruments/barometer_stby_down                Baro selection down a bit, standby alt.
sim/instruments/barometer_stby_up                  Baro selection up a bit, standby alt.
sim/instruments/barometer_ap_down                  Baro selection down a bit, AP presel.
sim/instruments/barometer_ap_up                    Baro selection up a bit, AP presel.
sim/instruments/dh_ref_down                        Decision-height reference down.
sim/instruments/dh_ref_up                          Decision-height reference up.
sim/instruments/dh_ref_copilot_down                Decision-height reference copilot down.
sim/instruments/dh_ref_copilot_up                  Decision-height reference copilot up.
sim/instruments/mda_ref_down                       Minimum descend alt reference down.
sim/instruments/mda_ref_up                         Minimum descend alt reference up.
sim/instruments/mda_ref_copilot_down               Minimum descend alt reference copilot down.
sim/instruments/mda_ref_copilot_up                 Minimum descend alt reference copilot up.
sim/instruments/baro_alt_alert_cancel              Cancel altitude alert (preselector).
sim/instruments/mda_alert_cancel                   Cancel MDA alert.
sim/instruments/adc_rev                            ADC reversion
sim/instruments/ahrs_rev                           AHRS reversion
sim/instruments/adc_rev_cop                        ADC reversion copilot
sim/instruments/ahrs_rev_cop                       AHRS reversion copilot
sim/instruments/minimum_down                       Minimum reference down.
sim/instruments/minimum_up                         Minimum reference up.
sim/instruments/ra_baro                            Minimum reference RA/BARO.
sim/instruments/minimum_copilot_down               Minimum reference copilot down.
sim/instruments/minimum_copilot_up                 Minimum reference copilot up.
sim/instruments/ra_baro_copilot                    Minimum reference RA/BARO copilot.
sim/instruments/panel_bright_down                  Panel brightness down a bit.
sim/instruments/panel_bright_up                    Panel brightness up a bit.
sim/instruments/instrument_bright_down             Instrument brightness down a bit.
sim/instruments/instrument_bright_up               Instrument brightness up a bit.
sim/annunciator/clear_master_caution               Clear master caution.
sim/annunciator/clear_master_warning               Clear master warning.
sim/annunciator/clear_master_accept                Clear master accept.
sim/FMS/ls_1l                                      FMS: line select 1l
sim/FMS/ls_2l                                      FMS: line select 2l
sim/FMS/ls_3l                                      FMS: line select 3l
sim/FMS/ls_4l                                      FMS: line select 4l
sim/FMS/ls_5l                                      FMS: line select 5l
sim/FMS/ls_6l                                      FMS: line select 6l
sim/FMS/ls_1r                                      FMS: line select 1r
sim/FMS/ls_2r                                      FMS: line select 2r
sim/FMS/ls_3r                                      FMS: line select 3r
sim/FMS/ls_4r                                      FMS: line select 4r
sim/FMS/ls_5r                                      FMS: line select 5r
sim/FMS/ls_6r                                      FMS: line select 6r
sim/FMS/index                                      FMS: INDEX
sim/FMS/fpln                                       FMS: FPLN
sim/FMS/clb                                        FMS: CLB
sim/FMS/crz                                        FMS: CRZ
sim/FMS/des                                        FMS: DES
sim/FMS/dir_intc                                   FMS: DIR/INTC
sim/FMS/legs                                       FMS: FPLN
sim/FMS/dep_arr                                    FMS: DEP/ARR
sim/FMS/hold                                       FMS: HOLD
sim/FMS/prog                                       FMS: PROG
sim/FMS/exec                                       FMS: EXEC
sim/FMS/fix                                        FMS: FIX
sim/FMS/navrad                                     FMS: NAVRAD
sim/FMS/airport                                    FMS: AIRPORT
sim/FMS/up                                         FMS: UP
sim/FMS/down                                       FMS: DOWN
sim/FMS/perf                                       FMS: PERF
sim/FMS/fuel_pred                                  FMS: FUEL PRED
sim/FMS/data                                       FMS: DATA
sim/FMS/menu                                       FMS: MENU
sim/FMS/prev                                       FMS: prev
sim/FMS/next                                       FMS: next
sim/FMS/key_0                                      FMS: key_0
sim/FMS/key_1                                      FMS: key_1
sim/FMS/key_2                                      FMS: key_2
sim/FMS/key_3                                      FMS: key_3
sim/FMS/key_4                                      FMS: key_4
sim/FMS/key_5                                      FMS: key_5
sim/FMS/key_6                                      FMS: key_6
sim/FMS/key_7                                      FMS: key_7
sim/FMS/key_8                                      FMS: key_8
sim/FMS/key_9                                      FMS: key_9
sim/FMS/key_A                                      FMS: key_A
sim/FMS/key_B                                      FMS: key_B
sim/FMS/key_C                                      FMS: key_C
sim/FMS/key_D                                      FMS: key_D
sim/FMS/key_E                                      FMS: key_E
sim/FMS/key_F                                      FMS: key_F
sim/FMS/key_G                                      FMS: key_G
sim/FMS/key_H                                      FMS: key_H
sim/FMS/key_I                                      FMS: key_I
sim/FMS/key_J                                      FMS: key_J
sim/FMS/key_K                                      FMS: key_K
sim/FMS/key_L                                      FMS: key_L
sim/FMS/key_M                                      FMS: key_M
sim/FMS/key_N                                      FMS: key_N
sim/FMS/key_O                                      FMS: key_O
sim/FMS/key_P                                      FMS: key_P
sim/FMS/key_Q                                      FMS: key_Q
sim/FMS/key_R                                      FMS: key_R
sim/FMS/key_S                                      FMS: key_S
sim/FMS/key_T                                      FMS: key_T
sim/FMS/key_U                                      FMS: key_U
sim/FMS/key_V                                      FMS: key_V
sim/FMS/key_W                                      FMS: key_W
sim/FMS/key_X                                      FMS: key_X
sim/FMS/key_Y                                      FMS: key_Y
